Sigla_Distribuidora,Estado,Grupo_Distribuidora,Grupo_Empresarial,Resumo temas,VlrPenalidade,NumAutoInfracao,Flag_Distribuidora,VlrMercado,DscTipoPenalidade,AnoLavratura,VlrMultaAposJuizo
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,5033.1,0002/2021-SFF,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,1491618.69,0002/2021-SFG,Não Distribuidora,, Multa,2021,0.0
CEEE Equatorial,RS,Equatorial,Equatorial,Comercial,41268096.98,0002/2022-AGERGS-SFE,Distribuidora,1992072, Advertência / Multa,2022,29347578.12
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,1073963.34,0002/2022-AGERGS-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,59447.86,0002/2022-ARCE-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,61364.01,0002/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,58091.26,0002/2022-ARSEP-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,22497.35,0002/2022-ARSESP-SFG,Não Distribuidora,, Multa,2022,0.0
Neoenergia Pernambuco,PE,NeoEnergia,NeoEnergia,Técnica,32949775.22,0002/2022-SFE,Distribuidora,4171038, Multa,2022,32949775.22
Certrel,SC,Certrel,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",38654.35,0002/2022-SFF,Distribuidora,4767, Multa,2022,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,784274.57,0002/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,6151.13,0002/2023-AGER/ MT-SFT,Não Distribuidora,, Multa,2023,0.0
Creral,RS,Creral,Não mapeado,Comercial,523605.86,0002/2023-AGERGS-SFE,Distribuidora,8065, Multa,2023,343838.24
Energisa SE,SE,Energisa,Energisa,Técnica,1687610.28,0002/2023-AGRESE-SFT,Distribuidora,910798, Multa,2023,0.0
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,99592.99,0002/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,99592.99
,,,Não mapeado,Ocorrências/Perturbações,17293163.89,0002/2023-SFE,Não Distribuidora,, Multa,2023,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",15675.15,0002/2023-SFF,Não Distribuidora,, Multa,2023,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,137046.28,0002/2023-SFG,Não Distribuidora,, Multa,2023,137046.28
